arm,param,delta,nmin,n,tp,fp,exploits,explores,hit_rate,hit_ci_lo,hit_ci_hi,error_rate,error_ci_lo,error_ci_hi,entries_final,within_delta
static,0.8000,,,40000,32345,3972,36317,3683,0.907925,0.905052,0.910719,0.099300,0.096408,0.102269,3683,
static,0.8300,,,40000,32227,3597,35824,4176,0.895600,0.892565,0.898559,0.089925,0.087161,0.092768,4176,
static,0.8600,,,40000,31770,3213,34983,5017,0.874575,0.871293,0.877785,0.080325,0.077702,0.083029,5017,
static,0.8900,,,40000,30541,2853,33394,6606,0.834850,0.831179,0.838457,0.071325,0.068844,0.073889,6606,
static,0.9200,,,40000,28040,2416,30456,9544,0.761400,0.757198,0.765552,0.060400,0.058107,0.062777,9544,
static,0.9500,,,40000,22796,1881,24677,15323,0.616925,0.612150,0.621678,0.047025,0.044994,0.049143,15323,
static,0.9700,,,40000,16745,1325,18070,21930,0.451750,0.446878,0.456631,0.033125,0.031416,0.034924,21930,
static,0.9800,,,40000,12541,999,13540,26460,0.338500,0.333878,0.343153,0.024975,0.023491,0.026550,26460,
static,0.9900,,,40000,7754,649,8403,31597,0.210075,0.206111,0.214095,0.016225,0.015033,0.017510,31597,
verified,0.0100,0.0100,3,40000,602,12,614,39386,0.015350,0.014191,0.016602,0.000300,0.000172,0.000524,5831,true
verified,0.0200,0.0200,3,40000,1267,37,1304,38696,0.032600,0.030904,0.034386,0.000925,0.000671,0.001275,5817,true
verified,0.0300,0.0300,3,40000,1864,62,1926,38074,0.048150,0.046095,0.050292,0.001550,0.001209,0.001986,5814,true
verified,0.0500,0.0500,3,40000,3083,82,3165,36835,0.079125,0.076520,0.081811,0.002050,0.001652,0.002544,5798,true
