arm,param,delta,nmin,n,tp,fp,exploits,explores,hit_rate,hit_ci_lo,hit_ci_hi,error_rate,error_ci_lo,error_ci_hi,entries_final,within_delta
static,0.8000,,,40000,10332,15058,25390,14610,0.634750,0.630019,0.639455,0.376450,0.371714,0.381210,14610,
static,0.8300,,,40000,10616,11683,22299,17701,0.557475,0.552602,0.562337,0.292075,0.287639,0.296551,17701,
static,0.8600,,,40000,10529,8346,18875,21125,0.471875,0.466986,0.476770,0.208650,0.204696,0.212660,21125,
static,0.8900,,,40000,9717,5473,15190,24810,0.379750,0.375006,0.384517,0.136825,0.133492,0.140228,24810,
static,0.9200,,,40000,8195,3148,11343,28657,0.283575,0.279179,0.288013,0.078700,0.076101,0.081379,28657,
static,0.9500,,,40000,5887,1404,7291,32709,0.182275,0.178522,0.186089,0.035100,0.033341,0.036949,32709,
static,0.9700,,,40000,3862,656,4518,35482,0.112950,0.109885,0.116089,0.016400,0.015201,0.017692,35482,
static,0.9800,,,40000,2637,397,3034,36966,0.075850,0.073296,0.078486,0.009925,0.009000,0.010945,36966,
static,0.9900,,,40000,1190,165,1355,38645,0.033875,0.032146,0.035693,0.004125,0.003543,0.004802,38645,
verified,0.0100,0.0100,3,40000,93,40,133,39867,0.003325,0.002807,0.003939,0.001000,0.000735,0.001361,24520,true
verified,0.0200,0.0200,3,40000,194,81,275,39725,0.006875,0.006111,0.007733,0.002025,0.001630,0.002516,24477,true
verified,0.0300,0.0300,3,40000,260,145,405,39595,0.010125,0.009190,0.011154,0.003625,0.003082,0.004264,24417,true
verified,0.0500,0.0500,3,40000,482,235,717,39283,0.017925,0.016670,0.019272,0.005875,0.005172,0.006673,24342,true
